                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.0374,                 1.1887,                  1.201,                0.99952,                      1,                  0.995,                0.67526,                 1.2514,                  1.225,                 1.4096,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.0434,                 1.0601,                 1.0917,                0.99952,                      1,                  0.995,                0.67526,                 1.2514,                  1.225,                 1.4096,               0.001109,               0.001109,               0.001109
                     47,                 1.1416,                 1.1117,                   1.18,                0.99363,                      1,                  0.995,                0.63894,                 1.2602,                 1.3912,                 1.4554,              0.0010892,              0.0010892,              0.0010892
                     48,                0.98454,                 1.0082,                 1.0982,                0.99363,                      1,                  0.995,                0.63894,                 1.2602,                 1.3912,                 1.4554,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.0071,                 1.0795,                 1.1448,                      1,                0.98946,                  0.995,                0.63803,                 1.2624,                 1.3188,                 1.4271,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.1324,                 1.4149,                 1.2201,                      1,                0.98946,                  0.995,                0.63803,                 1.2624,                 1.3188,                 1.4271,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2091,                 1.2044,                 1.2924,                      1,                0.98875,                  0.995,                0.65191,                 1.2552,                 1.3654,                 1.3906,                0.00101,                0.00101,                0.00101
                     52,                 1.0107,                  1.065,                 1.1599,                      1,                0.98875,                  0.995,                0.65191,                 1.2552,                 1.3654,                 1.3906,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.0088,                 1.0174,                 1.1618,                      1,                0.99229,                  0.995,                 0.6328,                 1.3261,                 1.3762,                 1.4546,              0.0009704,              0.0009704,              0.0009704
                     54,                0.98673,                 1.1296,                 1.1604,                      1,                0.99229,                  0.995,                 0.6328,                 1.3261,                 1.3762,                 1.4546,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.2314,                 1.2581,                 1.2928,                 0.9909,                      1,                  0.995,                0.64257,                 1.3328,                 1.3303,                 1.5355,              0.0009308,              0.0009308,              0.0009308
                     56,                0.96047,                 1.0569,                 1.1296,                 0.9909,                      1,                  0.995,                0.64257,                 1.3328,                 1.3303,                 1.5355,               0.000911,               0.000911,               0.000911
                     57,                0.93161,                 1.0359,                 1.1744,                0.99425,                      1,                  0.995,                0.60788,                 1.3281,                 1.2856,                 1.5344,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.0601,                 1.0737,                 1.1234,                0.99425,                      1,                  0.995,                0.60788,                 1.3281,                 1.2856,                 1.5344,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0137,                 1.1063,                 1.1831,                0.99098,                      1,                  0.995,                0.64254,                 1.3343,                 1.2221,                 1.5523,              0.0008516,              0.0008516,              0.0008516
                     60,                0.81974,                0.92016,                 1.0711,                0.99098,                      1,                  0.995,                0.64254,                 1.3343,                 1.2221,                 1.5523,              0.0008318,              0.0008318,              0.0008318
                     61,                0.96533,                0.99389,                 1.1468,                      1,                0.99957,                  0.995,                0.65945,                  1.314,                 1.2078,                 1.3983,               0.000812,               0.000812,               0.000812
                     62,                 1.0522,                 1.0406,                 1.2419,                      1,                0.99957,                  0.995,                0.65945,                  1.314,                 1.2078,                 1.3983,              0.0007922,              0.0007922,              0.0007922
                     63,                0.96127,                0.92993,                 1.1239,                      1,                0.99336,                  0.995,                0.66606,                 1.3038,                 1.1609,                   1.36,              0.0007724,              0.0007724,              0.0007724
                     64,                0.98069,                0.98968,                 1.1425,                      1,                0.99336,                  0.995,                0.66606,                 1.3038,                 1.1609,                   1.36,              0.0007526,              0.0007526,              0.0007526
                     65,                0.97716,                 1.0704,                 1.1453,                0.99779,                      1,                  0.995,                0.65843,                 1.3181,                 1.0708,                 1.3634,              0.0007328,              0.0007328,              0.0007328
                     66,                 0.9026,                0.95412,                 1.1356,                0.99779,                      1,                  0.995,                0.65843,                 1.3181,                 1.0708,                 1.3634,               0.000713,               0.000713,               0.000713
                     67,                 0.8726,                0.92194,                 1.0879,                 0.9939,                      1,                  0.995,                0.65661,                 1.3225,                 1.0623,                 1.4012,              0.0006932,              0.0006932,              0.0006932
                     68,                0.82005,                0.85161,                 1.0491,                 0.9939,                      1,                  0.995,                0.65661,                 1.3225,                 1.0623,                 1.4012,              0.0006734,              0.0006734,              0.0006734
                     69,                0.77205,                0.93755,                 1.0821,                  0.994,                      1,                  0.995,                0.61911,                 1.3389,                 1.1233,                 1.4891,              0.0006536,              0.0006536,              0.0006536
                     70,                0.77134,                0.84176,                 1.0069,                  0.994,                      1,                  0.995,                0.61911,                 1.3389,                 1.1233,                 1.4891,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0148,                 1.0028,                 1.1807,                0.99375,                      1,                  0.995,                0.62017,                 1.3205,                 1.1304,                 1.4906,               0.000614,               0.000614,               0.000614
